sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0,535;181;;180rounds;No;No;1;0,00000;0,00000;1,02547;1,25479;0,00000;MaxOops@0;MaxOops@1;0.0;0.0;0.0;0.0;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,198;172;;180rounds;Yes;No;2;0,72010;1,00000;0,00000;0,09716;1,72010;GrandmaAgent@2;MaxOops@3;0.7201011159598114;0.9999999999999999;0.7201011159598114;0.9999999999999999;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,201;156;;180rounds;Yes;No;2;0,72010;1,00000;0,00000;0,09716;1,72010;AgentHP2_main@4;MaxOops@5;0.7201011159598114;0.9999999999999999;0.7201011159598114;0.9999999999999999;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
2,301;173;;180rounds;Yes;No;2;0,64447;0,95883;0,08611;0,16401;1,60330;ClockworkAgent@6;MaxOops@7;0.6444697686570273;0.9588259622569032;0.6444697686570273;0.9588259622569032;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,016;12;;180rounds;Yes;No;2;0,72010;1,00000;0,00000;0,09716;1,72010;Terra@8;MaxOops@9;0.7201011159598114;0.9999999999999999;0.7201011159598114;0.9999999999999999;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,039;33;;180rounds;Yes;No;2;0,64296;0,92945;0,00000;0,33898;1,57242;MaxOops@10;GrandmaAgent@11;0.9294521133371342;0.6429633954667028;0.9294521133371342;0.6429633954667028;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,180;161;;180rounds;Yes;No;2;0,85770;0,87739;0,00000;0,12303;1,73509;GrandmaAgent@12;GrandmaAgent@13;0.8773866645188294;0.8577029502735191;0.8773866645188294;0.8577029502735191;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,058;49;;180rounds;Yes;No;2;0,76413;0,89238;0,00590;0,21274;1,65652;AgentHP2_main@14;GrandmaAgent@15;0.8923846890653628;0.7641303803149874;0.8923846890653628;0.7641303803149874;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,416;31;;180rounds;Yes;No;2;0,74464;0,90390;0,00000;0,23521;1,64853;ClockworkAgent@16;GrandmaAgent@17;0.9038983003138686;0.7446365994923441;0.9038983003138686;0.7446365994923441;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,015;13;;180rounds;Yes;No;2;0,74565;0,89833;0,07805;0,08777;1,64398;Terra@18;GrandmaAgent@19;0.745654928983077;0.8983267959743586;0.745654928983077;0.8983267959743586;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
0,080;52;;180rounds;Yes;No;2;0,74464;0,90390;0,00000;0,23521;1,64853;MaxOops@20;AgentHP2_main@21;0.9038983003138686;0.7446365994923441;0.9038983003138686;0.7446365994923441;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
